"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\yniit\Documents\課題\ai設計書\pytouch\aitraining\tests\__init__.py", "Python", 3, 0, 1, 4
"c:\Users\yniit\Documents\課題\ai設計書\pytouch\aitraining\tests\conftest.py", "Python", 19, 1, 8, 28
"c:\Users\yniit\Documents\課題\ai設計書\pytouch\aitraining\tests\test_ConfigManager.py", "Python", 244, 46, 114, 404
"c:\Users\yniit\Documents\課題\ai設計書\pytouch\aitraining\tests\test_imageCollector.py", "Python", 211, 37, 128, 376
"c:\Users\yniit\Documents\課題\ai設計書\pytouch\aitraining\tests\test_image_cnnmodel.py", "Python", 74, 20, 47, 141
"c:\Users\yniit\Documents\課題\ai設計書\pytouch\aitraining\tests\test_image_dataset.py", "Python", 44, 19, 29, 92
"c:\Users\yniit\Documents\課題\ai設計書\pytouch\aitraining\tests\test_modelEvaluator.py", "Python", 246, 62, 139, 447
"c:\Users\yniit\Documents\課題\ai設計書\pytouch\aitraining\tests\test_model_trainer.py", "Python", 499, 94, 314, 907
"c:\Users\yniit\Documents\課題\ai設計書\pytouch\aitraining\tests\test_preprocessor.py", "Python", 357, 90, 230, 677
"Total", "-", 1697, 369, 1010, 3076
